Year,Farms,"Agricultural services, forestry, and fishing",Metal mining,Coal mining,Oil and gas extraction,"Nonmetallic minerals, except fuels",Construction,Lumber and wood products,Furniture and fixtures,"Stone, clay, and glass products",Primary metal industries,Fabricated metal products,"Machinery, except electrical",Electric and electronic equipment,Motor vehicles and equipment,Other transportation equipment,Instruments and related products,Miscellaneous manufacturing industries,Food and kindred products,Tobacco manufactures,Textile mill products,Apparel and other textile products,Paper and allied products,Printing and publishing,Chemicals and allied products,Petroleum and coal products,Rubber and miscellaneous plastics products,Leather and leather products,Railroad transportation,Local and interurban passenger transit,Trucking and warehousing,Water transportation,Transportation by air,"Pipelines, except natural gas",Transportation services,Telephone and telegraph,Radio and television,"Electric, gas, and sanitary services",Wholesale trade,Retail trade,Banking,Credit agencies other than banks,Security and commodity brokers,Insurance carriers,"Insurance agents, brokers, and service",Real estate,Holding and other investment offices,Hotels and other lodging places,Personal services,Business services,"Auto repair, services, and parking",Miscellaneous repair services,Motion pictures,Amusement and recreation services,Health services,Legal services,Educational services,Social services,Membership organizations,Miscellaneous professional services
1948,1940,132,100,533,263,97,2321,862,334,556,1231,1085,1384,975,757,472,271,416,1783,99,1329,1196,470,720,633,220,322,406,1503,388,515,254,89,30,75,692,47,528,2586,5852,406,100,53,495,106,463,12,451,855,306,223,126,221,240,825,102,409,223,446,176
1949,1869,131,94,475,257,97,2194,752,310,517,1084,983,1189,839,733,458,248,381,1753,101,1186,1167,451,717,599,214,297,389,1349,373,518,235,87,29,71,686,50,541,2528,5805,410,107,51,519,115,449,12,434,826,307,208,114,218,235,846,104,416,236,472,170
1950,1933,134,96,469,260,99,2411,817,357,549,1185,1083,1215,961,797,452,271,400,1751,96,1243,1183,482,723,617,216,320,392,1373,354,575,225,86,27,70,664,53,545,2559,5942,418,121,56,546,123,467,11,428,818,322,196,111,213,233,905,112,421,242,486,175
1951,1856,143,102,441,287,107,2668,866,348,586,1295,1191,1468,1085,835,696,320,400,1781,104,1220,1182,504,737,687,227,345,375,1432,350,635,251,95,28,77,689,58,555,2715,6275,447,131,60,572,135,469,12,438,825,350,191,122,208,230,958,117,417,252,505,203
1952,1786,147,103,397,305,109,2683,807,349,565,1225,1215,1545,1169,778,998,349,391,1765,103,1139,1187,497,739,708,231,346,376,1382,344,661,245,108,29,80,713,60,560,2784,6384,472,143,63,603,143,464,14,444,815,379,194,126,200,225,989,118,416,257,516,231
1953,1742,140,107,342,312,111,2643,778,356,576,1306,1321,1567,1300,899,1143,381,420,1756,103,1130,1205,523,754,746,235,366,376,1359,335,701,238,114,28,81,737,64,571,2830,6482,496,155,64,645,150,462,14,451,805,411,193,120,190,229,1035,124,422,268,537,245
1954,1762,140,101,267,316,110,2611,710,329,548,1164,1199,1413,1169,765,1034,360,397,1720,101,1017,1138,522,758,729,232,337,357,1205,314,695,221,116,27,76,729,70,572,2821,6405,511,166,67,675,157,468,16,440,787,426,189,110,184,228,1084,126,430,276,553,243
1955,1707,140,105,249,329,115,2734,750,354,578,1266,1261,1439,1214,874,987,365,399,1707,99,1022,1162,537,768,745,231,365,367,1196,295,748,231,125,26,78,739,72,577,2891,6570,529,184,78,702,163,490,17,442,783,464,198,114,179,233,1132,128,446,291,584,259
1956,1626,143,112,261,342,122,2853,742,362,592,1300,1283,1550,1286,784,1051,388,403,1711,95,997,1157,554,782,773,229,373,362,1183,288,796,240,144,26,78,782,75,583,3031,6781,554,205,85,734,173,499,18,449,788,521,211,119,172,238,1191,128,456,305,611,301
1957,1604,143,113,255,344,121,2801,669,361,582,1294,1298,1555,1309,755,1122,401,385,1704,92,954,1145,555,803,793,232,377,359,1117,287,802,249,160,26,76,798,78,589,3041,6811,586,212,85,778,180,478,20,459,792,572,219,125,165,240,1264,131,490,318,636,323
1958,1639,141,92,215,318,117,2705,623,337,547,1082,1146,1328,1185,596,1009,375,360,1639,90,886,1086,542,791,758,219,351,341,952,273,781,218,160,25,72,747,79,601,3017,6698,596,214,91,800,188,469,19,450,775,599,226,115,151,243,1331,135,512,330,661,310
1959,1631,140,83,190,318,119,2838,667,358,587,1113,1206,1433,1346,666,1014,395,375,1653,90,914,1144,567,807,778,209,382,356,917,266,832,222,167,24,76,718,81,594,3069,6900,613,226,102,795,190,480,20,459,771,661,243,124,146,252,1379,141,518,364,730,314
1960,1604,151,95,177,303,117,2805,647,357,592,1150,1218,1448,1419,699,936,402,378,1673,90,891,1156,576,833,793,202,384,345,881,268,851,222,183,23,79,723,84,600,3132,7100,645,245,111,807,199,480,24,474,780,721,258,131,142,267,1418,150,544,401,803,319
1961,1602,161,89,157,296,115,2777,601,341,570,1077,1180,1399,1429,628,920,394,369,1656,87,861,1134,582,840,792,194,377,341,807,264,839,215,186,22,79,710,86,600,3130,7040,661,257,122,804,203,468,26,472,774,767,260,130,139,272,1439,151,573,424,848,320
1962,1551,172,84,150,292,114,2855,612,361,580,1101,1242,1477,1531,686,980,405,383,1649,87,874,1184,598,853,804,189,422,342,788,260,869,212,188,21,80,705,87,597,3161,7198,679,268,127,802,209,480,27,484,780,833,265,133,132,282,1486,157,609,449,898,332
1963,1498,179,81,145,283,114,2939,619,364,590,1110,1260,1515,1505,729,990,409,382,1637,86,861,1197,605,856,819,185,431,334,763,257,883,210,192,20,82,702,89,597,3193,7364,704,287,119,823,213,493,27,509,793,884,277,136,131,294,1554,162,638,459,918,352
1964,1361,191,81,142,282,114,3049,641,379,603,1159,1291,1588,1480,748,965,407,389,1640,88,862,1214,607,874,831,180,444,332,746,254,898,216,202,19,86,716,92,598,3268,7643,724,299,121,839,221,498,27,538,809,960,291,139,131,301,1630,172,655,471,944,369
1965,1270,206,85,140,280,119,3221,658,404,622,1234,1376,1732,1590,828,998,436,411,1666,86,902,1274,628,907,870,178,483,341,730,257,946,214,218,19,88,747,97,610,3372,7941,750,314,124,866,232,520,31,569,846,1050,306,147,136,308,1735,181,706,487,975,395
1966,1168,214,88,137,276,120,3327,670,437,640,1278,1498,1912,1836,863,1170,491,429,1688,83,942,1329,656,946,926,179,527,352,719,262,991,227,244,18,95,788,102,617,3501,8301,782,322,136,876,237,537,34,604,877,1170,320,158,141,316,1882,188,750,519,1039,432
1967,1088,226,80,137,270,117,3301,653,429,625,1250,1542,1957,1887,816,1238,511,424,1707,84,944,1327,672,979,966,179,534,344,689,269,1001,229,285,18,102,816,108,628,3585,8541,839,331,152,923,245,549,35,635,905,1278,331,168,147,336,2056,200,797,551,1104,469
1968,1063,235,83,131,270,115,3418,669,444,631,1248,1592,1949,1903,870,1247,529,428,1705,82,975,1339,681,996,994,183,573,348,661,272,1035,228,316,18,103,824,112,640,3668,8867,888,337,188,954,249,576,41,659,908,1359,340,170,148,344,2220,208,836,572,1145,505
1969,1032,242,91,133,274,113,3562,686,453,653,1283,1651,2009,1955,906,1211,545,434,1718,79,985,1347,705,1016,1023,186,613,331,637,268,1068,213,337,18,109,885,117,651,3782,9180,955,347,221,956,258,603,47,691,900,1483,353,174,154,358,2394,217,864,588,1177,548
1970,1041,239,95,143,264,113,3481,672,422,633,1243,1533,1956,1843,797,1027,524,414,1713,79,946,1292,694,1021,1010,187,593,307,620,267,1052,205,335,17,112,948,118,667,3864,9329,1009,348,199,986,268,629,52,706,858,1525,365,176,153,359,2520,227,900,581,1162,561
1971,1034,242,89,145,256,112,3538,695,420,622,1154,1443,1785,1705,831,893,489,408,1675,74,935,1268,669,982,975,186,592,286,589,265,1059,187,324,17,112,943,122,678,3891,9524,1037,354,191,986,275,666,55,722,816,1519,379,172,152,365,2746,241,921,581,1164,570
1972,1032,261,86,158,258,110,3739,719,460,646,1165,1493,1866,1757,870,914,515,419,1652,74,970,1312,674,988,964,183,642,288,567,258,1094,189,328,17,113,953,127,693,4005,9764,1072,375,197,1005,281,703,59,750,771,1634,397,182,152,404,3050,261,943,606,1213,619
1973,1070,298,88,158,266,114,4011,744,490,682,1250,1608,2056,1940,953,947,556,440,1648,76,1004,1351,689,1016,992,184,693,286,565,255,1162,191,348,16,122,974,131,711,4230,10281,1135,399,189,1022,301,777,73,807,773,1805,433,200,157,437,3308,296,968,607,1216,691
1974,1146,312,96,176,296,117,3928,702,470,672,1271,1598,2196,1950,897,952,579,442,1638,77,952,1274,688,1020,1015,189,689,267,574,256,1168,193,349,16,128,983,136,721,4342,10465,1202,414,172,1052,317,779,84,828,750,1901,440,213,157,459,3537,320,1000,616,1234,732
1975,1152,288,93,211,320,115,3442,598,398,619,1118,1430,2026,1677,776,904,539,403,1592,71,825,1168,628,991,1009,187,585,239,541,251,1080,184,346,17,128,958,141,711,4260,10501,1225,425,168,1053,338,773,82,834,741,1845,444,211,158,466,3775,347,1032,645,1335,725
