Table 6.4B. Full-Time and Part-Time Employees by Industry
Table 6.4B. Full-Time and Part-Time Employees by Industry
"Last Revised on: July 30, 2021"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"            Full-time and part-time employees",51332,50358,52424,56415,57702,58918,57387,59080,60845,61308,59839,61587,62680,62881,64573,65619,67275,69692,73516,75442,77602,79850,79750,79554,81583,85202,86573,85044,87402,90421,94777,98017,98370,99225,97305,98041,102458,104987,106873,109754
2,Domestic industries,51325,50373,52428,56470,57770,58996,57514,59218,60987,61441,59967,61721,62823,63006,64664,65691,67338,69713,73531,75457,77618,79872,79770,79573,81604,85226,86594,85069,87427,90444,94805,98039,98394,99287,97369,98111,102531,105059,106940,109820
3,"    Private industries",43431,41857,43626,46112,46668,47873,46400,48036,49573,49732,48211,49781,50548,50374,51672,52444,53655,55598,58209,59288,60948,62877,62702,62529,64568,67939,68947,67069,69430,72275,76312,79136,79120,80139,78223,78937,83106,85264,86771,89270
4,"        Agriculture, forestry, and fishing",2505,2418,2499,2418,2338,2277,2301,2233,2141,2114,2153,2133,2097,2121,2075,2043,1879,1775,1662,1568,1545,1530,1545,1535,1551,1637,1738,1711,1815,1760,1763,1816,1865,1844,1718,1835,1747,1632,1611,1671
5,"            Farms",2337,2252,2329,2236,2152,2099,2123,2056,1959,1932,1974,1956,1907,1918,1858,1815,1637,1516,1393,1286,1252,1227,1244,1232,1227,1269,1356,1360,1421,1341,1268,1273,1303,1256,1193,1291,1161,1007,953,964
6,"            Agricultural services, forestry, and fishing",168,166,170,182,186,178,178,177,182,182,179,177,190,203,217,228,242,259,269,282,293,303,301,303,324,368,382,351,394,419,495,543,562,588,525,544,586,625,658,707
7,"        Mining",993,923,926,939,916,876,798,804,843,840,749,717,699,666,649,632,628,634,631,614,610,624,628,615,625,639,699,753,782,827,876,948,1032,1151,1138,964,980,934,783,728
8,"            Metal mining",100,94,96,102,103,107,101,105,112,113,92,83,95,89,84,81,81,85,88,80,83,91,95,89,86,88,96,93,93,92,82,89,88,93,75,59,56,47,43,46
9,"            Coal mining",533,475,470,442,398,343,268,251,263,257,217,192,179,159,152,147,144,142,139,139,133,136,146,148,161,161,180,215,230,241,237,257,254,239,244,196,201,192,178,164
10,"            Oil and gas extraction",263,257,261,288,306,314,318,332,345,348,322,322,307,301,297,288,287,286,282,276,277,281,271,263,265,273,303,327,342,376,434,474,564,699,707,601,612,583,451,405
11,"            Nonmetallic minerals, except fuels",97,97,99,107,109,112,111,116,123,122,118,120,118,117,116,116,116,121,122,119,117,116,116,115,113,117,120,118,117,118,123,128,126,120,112,108,111,112,111,113
