Table 6.5C. Full-Time Equivalent Employees by Industry
Table 6.5C. Full-Time Equivalent Employees by Industry
"Last Revised on: July 30, 2021"
Line,,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
,,,,,,,,,,,,,,
1,"            Full-time equivalent employees1",100135,102754,103894,102401,102512,104022,106785,109754,111893,114726,117761,120323,122988
2,Domestic industries,100210,102837,103976,102483,102590,104387,107196,110163,112270,115130,118162,120764,123384
3,"    Private industries2",82568,84792,85604,84061,84252,86106,88906,91767,93862,96598,99461,101920,104283
4,"        Agriculture, forestry, and fishing",1550,1506,1494,1485,1451,1483,1521,1589,1605,1651,1766,1843,1846
5,"            Farms",859,795,788,779,742,735,719,743,712,750,753,790,762
6,"            Agricultural services, forestry, and fishing",691,711,706,706,709,748,802,846,893,901,1013,1053,1084
7,"        Mining",716,690,706,685,630,604,596,578,571,587,579,525,526
8,"            Metal mining",52,58,60,57,55,52,50,52,54,54,49,44,40
9,"            Coal mining",150,144,145,135,125,111,111,104,96,94,90,83,76
10,"            Oil and gas extraction",402,377,391,390,349,340,333,317,315,332,332,289,300
11,"            Nonmetallic minerals, except fuels",112,111,110,103,101,101,102,105,106,107,108,109,110
12,"        Construction",4919,4986,4933,4501,4341,4502,4811,5102,5355,5650,5959,6339,6645
13,"        Manufacturing",18912,18955,18649,17979,17641,17631,17977,18148,18119,18293,18431,18208,18098
14,"            Durable goods",11219,11220,10939,10400,10112,10059,10318,10539,10641,10851,11054,10965,10971
15,"                Lumber and wood products",749,735,713,661,667,696,745,757,767,777,798,825,808
16,"                Furniture and fixtures",511,510,492,456,458,471,493,501,496,502,521,537,547
17,"                Stone, clay, and glass products",559,562,550,515,502,511,527,529,532,542,556,559,570
18,"                Primary metal industries",765,767,751,718,683,675,694,699,704,706,711,692,694
19,"                Fabricated metal products",1405,1415,1398,1327,1308,1318,1371,1421,1426,1462,1492,1507,1522
20,"                Industrial machinery and equipment",2074,2089,2051,1975,1894,1903,1962,2049,2072,2132,2171,2099,2078
21,"                Electronic and other electric equipment",1748,1729,1663,1580,1517,1511,1563,1605,1644,1674,1687,1646,1698
22,"                Motor vehicles and equipment",843,844,815,775,812,827,891,960,958,973,987,1015,1012
23,"                Other transportation equipment",1178,1189,1172,1090,1010,910,845,810,816,851,892,866,829
24,"                Instruments and related products",1012,1004,975,947,905,872,846,827,842,851,858,836,831
25,"                Miscellaneous manufacturing industries",375,376,359,356,356,365,381,381,384,381,381,383,382
26,"            Nondurable goods",7693,7735,7710,7579,7529,7572,7659,7609,7478,7442,7377,7243,7127
27,"                Food and kindred products",1566,1572,1591,1600,1588,1606,1630,1638,1651,1648,1645,1654,1656
28,"                Tobacco products",54,51,51,49,47,45,43,41,40,40,39,36,34
29,"                Textile mill products",711,703,680,651,656,663,668,653,623,610,590,551,527
30,"                Apparel and other textile products",1048,1038,996,962,956,948,955,914,841,799,740,671,594
31,"                Paper and allied products",678,686,689,682,680,684,686,686,677,676,673,663,651
32,"                Printing and publishing",1441,1467,1472,1439,1401,1407,1441,1440,1428,1444,1455,1447,1446
33,"                Chemicals and allied products",1052,1062,1075,1069,1065,1059,1038,1028,1022,1017,1020,1022,1022
34,"                Petroleum and coal products",156,153,155,156,154,149,145,142,139,135,134,130,125
35,"                Rubber and miscellaneous plastics products",849,869,872,852,867,897,942,963,965,985,999,995,1003
36,"                Leather and leather products",138,134,129,119,115,114,111,104,92,88,82,74,69
37,"        Transportation and public utilities",5258,5345,5443,5407,5364,5496,5654,5782,5887,6040,6227,6421,6593
38,"            Transportation",3155,3257,3289,3269,3259,3396,3550,3685,3782,3887,4040,4167,4248
39,"                Railroad transportation",268,262,246,237,229,221,216,222,208,205,208,208,198
40,"                Local and interurban passenger transit",300,313,316,322,328,349,371,386,407,425,440,453,447
41,"                Trucking and warehousing3",1302,1330,1317,1304,1305,1379,1456,1512,1549,1595,1658,1722,1757
42,"                Water transportation",169,169,171,177,168,167,171,171,168,174,177,180,185
43,"                Transportation by air3",802,851,899,890,887,921,954,996,1044,1062,1117,1160,1207
44,"                Pipelines, except natural gas",18,18,18,19,19,19,17,15,15,14,13,13,13
45,"                Transportation services",296,314,322,320,323,340,365,383,391,412,427,431,441
46,"            Communications",1191,1172,1217,1195,1164,1169,1187,1201,1234,1294,1341,1406,1503
47,"                Telephone and telegraph",872,845,877,862,832,831,840,839,856,913,949,1001,1079
48,"                Radio and television",319,327,340,333,332,338,347,362,378,381,392,405,424
49,"            Electric, gas, and sanitary services",912,916,937,943,941,931,917,896,871,859,846,848,842
50,"        Wholesale trade",5799,6026,5972,5813,5817,5751,5935,6163,6243,6424,6582,6686,6774
51,"        Retail trade",15723,16209,16312,15882,16002,16428,17023,17725,18064,18430,18724,19275,19849
52,"        Finance, insurance, and real estate",6390,6426,6501,6444,6360,6477,6595,6522,6597,6755,6984,7095,7084
53,"            Depository institutions",2148,2157,2153,2067,2003,1989,1973,1935,1920,1926,1930,1922,1900
54,"            Nondepository institutions",354,352,360,363,392,444,470,448,494,549,629,670,646
55,"            Security and commodity brokers",425,412,410,403,420,451,497,507,530,571,615,652,712
56,"            Insurance carriers",1398,1420,1465,1487,1469,1469,1475,1461,1458,1471,1521,1532,1506
57,"            Insurance agents, brokers, and service",621,627,639,646,628,640,659,668,676,691,705,708,709
58,"            Real estate",1217,1223,1234,1228,1207,1239,1274,1265,1280,1309,1345,1371,1368
59,"            Holding and other investment offices",227,235,240,250,241,245,247,238,239,238,239,240,243
60,"        Services",23301,24649,25594,25865,26646,27734,28794,30158,31421,32768,34209,35528,36868
61,"            Hotels and other lodging places",1361,1414,1437,1389,1369,1383,1418,1456,1489,1526,1566,1627,1672
62,"            Personal services",990,1006,1030,1020,1035,1061,1082,1101,1121,1117,1129,1155,1179
63,"            Business services",4291,4571,4811,4675,4964,5366,5820,6387,6879,7515,8151,8758,9362
64,"            Auto repair, services, and parking",844,886,915,872,871,917,954,1002,1067,1105,1130,1180,1218
65,"            Miscellaneous repair services",340,358,372,328,333,348,332,353,370,373,380,380,377
66,"            Motion pictures",290,313,327,324,323,331,362,397,421,445,463,480,478
67,"            Amusement and recreation services",816,881,928,937,972,1019,1096,1168,1224,1281,1301,1350,1425
